Date,Open,High,Low,Close,Adj Close,Volume
2025-06-18,104602.068635,105581.853113,103602.261836,104883.326926,104883.326926,47318089133.08
2025-06-19,104886.774302,105250.892265,103940.775183,104684.285952,104684.285952,37333806919.54
2025-06-20,104681.033043,106539.383908,102372.211002,103309.604125,103309.604125,50951862476.19
2025-06-21,103315.080638,104015.780112,100973.064189,102257.408690,102257.408690,38360555117.77
2025-06-22,102212.034885,103351.630411,98286.205930,100987.139519,100987.139519,65536997200.85
2025-06-23,100987.473110,106116.862348,99705.747002,105577.772032,105577.772032,65237759656.41
2025-06-24,105571.517765,106316.828578,104740.242096,106045.632095,106045.632095,48822986421.13
2025-06-25,106047.403167,108168.400275,105881.389364,107361.260804,107361.260804,51624120283.34
2025-06-26,107375.070639,108305.543038,106666.349772,106960.003269,106960.003269,43891990612.71
2025-06-27,106954.923331,107772.471512,106449.994143,107088.430229,107088.430229,45353692674.51
2025-06-28,107090.548857,107567.881577,106883.973281,107327.703181,107327.703181,30037708334.64
2025-06-29,107327.822426,108526.307041,107230.110525,108385.570088,108385.570088,35534874438.25
2025-06-30,108383.441180,108798.791915,106759.650327,107135.334511,107135.334511,42064804589.76
2025-07-01,107144.382644,107550.678694,105270.226604,105698.278144,105698.278144,44110692246.89
2025-07-02,105703.099855,109763.653518,105157.395596,108859.323868,108859.323868,56248657736.96
2025-07-03,108845.012855,110541.461567,108605.795643,109647.978774,109647.978774,50494742269.78
2025-07-04,109635.655197,109751.987456,107296.380030,108034.339050,108034.339050,42616442655.9
2025-07-05,108015.839226,108381.340161,107842.275057,108231.181990,108231.181990,30615537519.57
2025-07-06,108231.183833,109731.625945,107847.017159,109232.069735,109232.069735,36746020463.25
2025-07-07,109235.327990,109710.249827,107527.057210,108299.851088,108299.851088,45415696597.48
2025-07-08,108298.228975,109198.971616,107499.556468,108950.275543,108950.275543,44282204126.95
2025-07-09,108950.275543,111925.376947,108357.682032,111326.551269,111326.551269,57927418064.83
2025-07-10,111329.195981,116608.784676,110660.749453,115987.206197,115987.206197,95911605727.89
2025-07-11,115986.234797,118856.473739,115245.686349,117516.993668,117516.993668,86928361084.93
2025-07-12,117530.712896,118219.900043,116977.023698,117435.230053,117435.230053,45524560304.01
2025-07-13,117432.200846,119449.571906,117265.437865,119116.117549,119116.117549,49021091807.15
2025-07-14,119115.787510,123091.612801,118959.196786,119849.705720,119849.705720,181746419401.06
2025-07-15,119853.848476,119935.560408,115765.686727,117777.188995,117777.188995,98321661180.6
2025-07-16,117777.188995,120065.518667,117064.821564,118738.506039,118738.506039,72162029070.46
2025-07-17,118738.506039,120999.607158,117508.216047,119289.842192,119289.842192,72363841798.42
2025-07-18,119284.111791,120851.917826,116925.981240,118003.224496,118003.224496,77945799784.74
2025-07-19,117998.127364,118541.401719,117388.410662,117939.978739,117939.978739,47564562764.75
2025-07-20,117944.109243,118865.034065,116550.136124,117300.785740,117300.785740,57515447231.38
2025-07-21,117306.466982,119671.564119,116584.400358,117439.535800,117439.535800,69820091744.15
2025-07-22,117426.498153,120269.966473,116233.226154,119995.415552,119995.415552,79217583118.49
2025-07-23,119997.442691,120113.350528,117391.390841,118754.957194,118754.957194,66608604536.87
2025-07-24,118770.981485,119535.454723,117247.972162,118368.003249,118368.003249,72627318559.56
2025-07-25,118368.003249,118486.978912,114759.823227,117635.881076,117635.881076,104857024568.67
2025-07-26,117644.844063,118335.685513,117181.227801,117947.366242,117947.366242,48508954045.79
2025-07-27,117944.729662,119815.597300,117859.687040,119448.490330,119448.490330,54683390891.99
2025-07-28,119457.521951,119819.789900,117441.437456,117924.472953,117924.472953,64822943193.08
2025-07-29,117938.584359,119273.870093,116987.370943,117922.147837,117922.147837,68463107433.08
2025-07-30,117921.994086,118780.726723,115800.826800,117831.191385,117831.191385,68896148591.57
2025-07-31,117833.629644,118919.984707,115505.222271,115758.203929,115758.203929,69370346017.86
2025-08-01,115738.955212,116060.772622,112724.442986,113320.085972,113320.085972,91294530181.27
2025-08-02,113320.394358,114021.605142,112005.769100,112526.914643,112526.914643,56870865999.63
2025-08-03,112525.803329,114747.423371,111943.804418,114217.672969,114217.672969,48099615825.72
2025-08-04,114223.923285,115729.471975,114130.403165,115071.884324,115071.884324,35783028986.15
2025-08-05,115072.184558,115117.435937,112701.110400,114141.441728,114141.441728,61039182286.4
2025-08-06,114140.913580,115737.833235,113372.249031,115027.996413,115027.996413,56379133509.58
2025-08-07,115030.052227,117676.905455,114279.712018,117496.897397,117496.897397,64051649680.54
2025-08-08,117505.497390,117689.201455,115917.458094,116688.725412,116688.725412,59713005166.12
2025-08-09,116678.275690,117906.611765,116363.835155,116500.362058,116500.362058,54004312428.99
2025-08-10,116497.716576,119320.714086,116485.166049,119306.761422,119306.761422,64755458694.47
2025-08-11,119306.810765,122321.097435,118159.028542,118731.447033,118731.447033,90528784177.43
2025-08-12,118717.662448,120302.470670,118228.722198,120172.907060,120172.907060,72803657984.3
