Date,Open,High,Low,Close,Adj Close,Volume
2025-09-12,4461.479257,4734.273789,4453.284733,4715.246310,4715.246310,43839753626.28
2025-09-13,4714.703579,4763.361237,4609.125530,4668.179795,4668.179795,34843845976.8
2025-09-14,4668.171365,4690.641857,4581.846965,4609.597612,4609.597612,28394160274.52
2025-09-15,4609.723012,4670.530051,4469.861437,4526.820245,4526.820245,40224062008.78
2025-09-16,4526.078199,4537.599678,4428.330126,4503.564611,4503.564611,32761501436.4
2025-09-17,4503.635681,4617.234691,4429.644497,4592.733370,4592.733370,44120899416.67
2025-09-18,4592.442761,4643.972430,4556.270131,4589.919047,4589.919047,33497259157.97
2025-09-19,4589.505690,4620.792821,4443.264748,4470.917079,4470.917079,30352619652.62
2025-09-20,4470.978567,4509.811889,4459.159369,4482.265602,4482.265602,18056494321.84
2025-09-21,4482.584016,4499.389092,4447.119363,4451.328972,4451.328972,19330306132.7
2025-09-22,4451.580653,4457.082569,4092.396707,4202.877304,4202.877304,58221334532.83
2025-09-23,4203.021518,4227.731567,4120.815315,4165.503910,4165.503910,32460075910.51
2025-09-24,4165.412577,4206.901930,4081.347617,4153.469155,4153.469155,33538388785.46
2025-09-25,4153.520930,4162.062345,3829.010826,3868.334061,3868.334061,68963092030.56
2025-09-26,3868.690952,4069.168672,3868.433563,4035.887826,4035.887826,47873508327.81
2025-09-27,4035.914464,4038.451590,3975.758111,4018.658236,4018.658236,20382555776.24
2025-09-28,4018.659659,4143.004092,3969.792952,4141.476502,4141.476502,24631307053.8
2025-09-29,4141.356419,4234.782770,4087.927342,4217.341585,4217.341585,38560429932.16
2025-09-30,4217.055001,4238.671431,4095.443544,4145.957727,4145.957727,37679153329.73
2025-10-01,4146.033610,4351.112394,4125.542063,4351.112394,4351.112394,46161664723.13
2025-10-02,4352.240536,4517.665103,4336.526488,4487.924042,4487.924042,48074066058.4
2025-10-03,4486.934512,4591.443686,4431.479098,4514.870455,4514.870455,49603450229.51
2025-10-04,4514.909268,4519.526671,4444.012688,4489.197231,4489.197231,21832270764.34
2025-10-05,4489.053446,4616.533439,4472.138643,4515.422980,4515.422980,44880806324.3
2025-10-06,4515.300603,4736.209220,4492.869969,4687.771472,4687.771472,44992456373.95
2025-10-07,4687.709805,4755.220088,4443.571528,4451.151669,4451.151669,54879425294.14
2025-10-08,4451.107943,4556.221849,4417.768233,4527.648174,4527.648174,40456628234.55
2025-10-09,4526.960927,4531.716798,4273.559684,4369.143754,4369.143754,47903074595.95
2025-10-10,4369.065594,4395.570640,3460.222497,3843.008795,3843.008795,97736621123.22
2025-10-11,3840.960354,3882.241385,3652.790088,3750.611531,3750.611531,62475475937.55
2025-10-12,3750.946166,4195.397231,3701.478193,4164.427885,4164.427885,61216174681.4
2025-10-13,4164.049305,4292.845842,4061.224660,4245.467989,4245.467989,50253782420.3
2025-10-14,4245.372618,4265.105524,3895.973631,4125.412116,4125.412116,67094148347.32
2025-10-15,4125.361199,4213.856082,3935.161419,3987.459563,3987.459563,50462889452.97
2025-10-16,3987.148845,4079.648301,3829.653931,3894.754390,3894.754390,49147390730.91
2025-10-17,3894.377803,3950.566988,3678.620474,3832.558939,3832.558939,57404271887.61
2025-10-18,3833.009410,3927.245642,3822.266472,3890.346185,3890.346185,23815676384.85
2025-10-19,3890.583428,4029.355395,3843.773042,3984.649651,3984.649651,32870655220.97
2025-10-20,3984.696167,4084.159577,3911.726313,3980.760222,3980.760222,40224612562.54
2025-10-21,3980.740459,4109.533229,3843.227698,3876.764281,3876.764281,49960290350.31
2025-10-22,3877.363000,3890.632403,3718.077028,3808.122298,3808.122298,46173305673.28
2025-10-23,3808.085023,3930.974749,3801.241421,3856.026302,3856.026302,36361652714.17
2025-10-24,3856.033259,4002.561822,3849.724862,3934.567306,3934.567306,34090708715.21
2025-10-25,3934.489907,3967.645419,3914.640739,3953.471054,3953.471054,15245229016.93
2025-10-26,3953.437319,4177.310733,3923.192697,4157.989373,4157.989373,29120786315.07
2025-10-27,4158.010888,4250.669894,4099.569625,4120.121880,4120.121880,40271333200.73
2025-10-28,4120.275123,4173.505234,3940.834229,3982.262344,3982.262344,39684155176.8
2025-10-29,3980.758956,4036.353007,3849.538709,3903.353003,3903.353003,35255876155.69
2025-10-30,3903.322489,3948.222589,3681.909351,3804.375144,3804.375144,39981939288.66
2025-10-31,3805.082734,3900.580344,3797.669203,3847.080335,3847.080335,37800100395.21
2025-11-01,3847.171480,3906.780249,3832.634654,3874.188082,3874.188082,17490279523.53
2025-11-02,3873.894309,3914.875436,3839.997224,3911.063326,3911.063326,20479611653.83
2025-11-03,3911.747841,3912.633401,3560.263566,3602.308088,3602.308088,53091469560.35
2025-11-04,3602.040844,3652.687313,3063.087015,3292.574459,3292.574459,76827517772.92
2025-11-05,3292.148163,3479.809544,3170.514010,3425.171230,3425.171230,46955882330.42
2025-11-06,3425.360992,3454.335946,3245.281645,3312.257813,3312.257813,36731850432.7
2025-11-07,3312.029297,3471.805015,3195.896661,3435.301136,3435.301136,42609994022.24
2025-11-08,3435.147454,3482.268350,3357.713198,3400.375960,3400.375960,23613870397.72
2025-11-09,3400.098538,3616.437015,3359.717480,3582.621385,3582.621385,28821543887.96
2025-11-10,3583.444713,3656.148953,3508.985948,3568.459946,3568.459946,35638045618.84
2025-11-11,3568.472700,3644.528338,3404.861825,3415.282290,3415.282290,39734688530.87
2025-11-12,3415.795889,3586.013922,3373.711555,3413.094229,3413.094229,34898956623.09
2025-11-13,3412.994912,3561.860791,3156.030873,3232.757094,3232.757094,50283416669.05
2025-11-14,3232.295128,3252.660922,3071.970716,3103.785613,3103.785613,47003809462.78
2025-11-15,3104.230142,3227.690247,3104.230142,3166.631356,3166.631356,19932940648.75
2025-11-16,3166.793395,3244.837747,3007.072867,3092.847524,3092.847524,30987886524.46
2025-11-17,3092.941704,3218.130475,2957.309568,3024.538933,3024.538933,41026793235.45
2025-11-18,3024.413950,3167.932621,2948.329331,3122.979075,3122.979075,41581494269.97
2025-11-19,3122.646012,3122.646012,2871.227935,3023.070792,3023.070792,40229739843.85
2025-11-20,3022.885607,3057.788510,2790.597976,2831.777577,2831.777577,43917885207.47
2025-11-21,2829.264557,2880.603140,2626.871610,2765.699181,2765.699181,51476486048.58
2025-11-22,2766.090611,2795.426665,2704.502129,2767.607325,2767.607325,15408928940.75
2025-11-23,2767.594948,2856.446416,2767.472878,2801.675995,2801.675995,20358404499.14
2025-11-24,2801.204297,2982.821933,2763.377861,2952.713451,2952.713451,32491657388.89
2025-11-25,2952.584453,2978.704441,2857.835839,2957.936240,2957.936240,23336017778.98
2025-11-26,2958.329677,3043.926898,2889.890577,3027.811932,3027.811932,21433162961.33
2025-11-27,3027.799122,3070.731932,2987.197674,3014.542329,3014.542329,16972780500.41
2025-11-28,3014.543582,3095.033164,2995.765144,3032.304521,3032.304521,20659958963.58
